TP_ESCOLA,NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_REDACAO,NU_NOTA_LC
Privada,649.9,563.3,740.0,601.9
Pública,579.0,359.7,480.0,504.9
Pública,398.4,378.2,480.0,515.3
Pública,558.0,482.9,740.0,586.9
Privada,523.3,354.7,540.0,365.9
Pública,470.7,518.9,620.0,568.3
Pública,440.7,373.3,740.0,500.9
Pública,394.3,503.1,560.0,533.0
Pública,482.4,390.3,560.0,469.5
Privada,680.0,597.8,800.0,677.2
Pública,644.1,590.9,660.0,621.6
Pública,488.2,537.8,280.0,534.9
Privada,674.7,624.6,920.0,575.6
Pública,464.3,464.0,560.0,573.8
Pública,418.0,447.7,280.0,481.6
Pública,380.0,384.5,420.0,493.0
Pública,542.3,397.6,460.0,444.6
Pública,403.6,415.6,660.0,582.1
Pública,452.0,532.8,560.0,539.0
Pública,457.7,394.9,620.0,503.6
Pública,437.1,398.3,400.0,472.3
Privada,628.2,465.9,620.0,494.0
Pública,394.5,457.2,540.0,518.4
Privada,683.3,560.5,900.0,612.7
Pública,457.9,522.2,580.0,544.0
Pública,464.9,386.1,520.0,494.5
